"","type","ESG_risk_category","metric","ret","SE","low","high"
"111","+8","Low","AAR",-6.98231937036909e-05,0.000172243737568489,-0.000407420919337928,0.000267774531930547
"112","+8","Low","CAAR",0.000881791109139406,0.000687721251907441,-0.000466142544599179,0.00222972476287799
"113","+8","Medium","AAR",0.000107348988300945,0.000169098193851588,-0.000224083471648167,0.000438781448250056
"114","+8","Medium","CAAR",0.000882542494212362,0.000741084612495369,-0.000569983346278561,0.00233506833470329
"115","+9","High","AAR",6.0827955993934e-05,0.000357970765997563,-0.00064079474536129,0.000762450657349158
"116","+9","High","CAAR",0.0024961371800732,0.00158606162614886,-0.000612543607178556,0.00560481796732497
"117","+9","Low","AAR",-8.574116909243e-05,0.000167418432763068,-0.000413881297308043,0.000242398959123183
"118","+9","Low","CAAR",0.000802586878490825,0.000699309208821543,-0.000568059170799399,0.00217323292778105
"119","+9","Medium","AAR",-0.000242145029506204,0.000169522821012419,-0.000574409758690545,9.01196996781379e-05
"120","+9","Medium","CAAR",0.000640397464706158,0.000757335975109771,-0.000843981046508992,0.00212477597592131
"121","+10","High","AAR",-0.000351495883165304,0.000347481348460258,-0.00103255932614741,0.000329567559816801
"122","+10","High","CAAR",0.0021446412969079,0.00161625671090408,-0.0010232218564641,0.0053125044502799
"123","+10","Low","AAR",-0.000383484155116913,0.000166808554092928,-0.000710428921139052,-5.6539389094773e-05
"124","+10","Low","CAAR",0.000413467134881454,0.000712245791175082,-0.000982534615821707,0.00180946888558461
"125","+10","Medium","AAR",-0.000143924508245721,0.000173761058697094,-0.000484496183292026,0.000196647166800584
"126","+10","Medium","CAAR",0.000496472956460438,0.000768254715206634,-0.00100930628534457,0.00200225219826544
